Substrate;Substrate (uM);aconitase_activity_(uM/seg);Replicate
Citrate;0;0;1
Citrate;200;0,02378796;1
Citrate;400;0,07135833;1
Citrate;600;0,06642454;1
Citrate;700;0,08891111;1
Citrate;800;0,09143519;1
Citrate;1000;0,1163083;1
Citrate;1500;0,1191995;1
Citrate;2000;0,1358454;1
Citrate;3000;0,1507671;1
Citrate;0;0;2
Citrate;200;0,03727176;2
Citrate;400;0,05756435;2
Citrate;600;0,08202454;2
Citrate;700;0,0786412;2
Citrate;800;0,08869815;2
Citrate;1000;0,1130676;2
Citrate;1500;0,1240097;2
Citrate;2000;0,1329051;2
Citrate;3000;0,1502671;2
Citrate;0;0;3
Citrate;200;0,04391481;3
Citrate;400;0,0625588;3
Citrate;600;0,07804259;3
Citrate;700;0,07516944;3
Citrate;800;0,09212037;3
Citrate;1000;0,116781;3
Citrate;1500;0,1235093;3
Citrate;2000;0,1458708;3
Citrate;3000;0,1606444;3
Isocitrate;0;0;
Isocitrate;20;0,04431995;
Isocitrate;30;0,06310306;
Isocitrate;40;0,0729431;
Isocitrate;60;0,07903729;
Isocitrate;150;0,2143144;
Isocitrate;200;0,1902926;
Isocitrate;300;0,2139194;
Isocitrate;500;0,2342273;
Isocitrate;1000;0,2768583;
Isocitrate;1500;0,2766782;
Isocitrate;0;0;
Isocitrate;20;0,04863118;
Isocitrate;30;0,06609509;
Isocitrate;40;0,05881632;
Isocitrate;60;0,07631204;
Isocitrate;150;0,2049255;
Isocitrate;200;0,1839773;
Isocitrate;300;0,2397861;
Isocitrate;500;0,2486843;
Isocitrate;1000;0,2742657;
Isocitrate;1500;0,2467968;
Isocitrate;0;0;
Isocitrate;20;0,05033706;
Isocitrate;30;0,08430546;
Isocitrate;40;0,06569981;
Isocitrate;60;0,09399866;
Isocitrate;150;0,2034042;
Isocitrate;200;0,1753111;
Isocitrate;300;0,1775519;
Isocitrate;500;0,2399347;
Isocitrate;1000;0,2554375;
Isocitrate;1500;0,2796472;
Isocitrate;0;0;
Isocitrate;150;0,1789099;
Isocitrate;300;0,1990378;
Isocitrate;500;0,2341419;
Isocitrate;1000;0,2448079;
Isocitrate;0;0;
Isocitrate;150;0,1700133;
Isocitrate;300;0,2181134;
Isocitrate;500;0,2476079;
Isocitrate;1000;0,2289337;
Isocitrate;0;0;
Isocitrate;150;0,1643744;
Isocitrate;300;0,1790959;
Isocitrate;500;0,2292151;
Isocitrate;1000;0,211586;
cis-Aconitate;0;0;
cis-Aconitate;3;0,1200602;
cis-Aconitate;5;0,1980435;
cis-Aconitate;7;0,2492708;
cis-Aconitate;10;0,2673866;
cis-Aconitate;15;0,3360991;
cis-Aconitate;30;0,3744616;
cis-Aconitate;50;0,3883741;
cis-Aconitate;0;0;
cis-Aconitate;3;0,1075403;
cis-Aconitate;5;0,1831306;
cis-Aconitate;7;0,2194662;
cis-Aconitate;10;0,2791093;
cis-Aconitate;15;0,3198893;
cis-Aconitate;30;0,4048634;
cis-Aconitate;50;0,3859898;
cis-Aconitate;0;0;
cis-Aconitate;3;0,08406898;
cis-Aconitate;5;0,1753245;
cis-Aconitate;7;0,2114523;
cis-Aconitate;10;0,2733213;
cis-Aconitate;15;0,3254801;
cis-Aconitate;30;0,3950546;
cis-Aconitate;50;0,3977819;
