Emission wavelength (nm);0 degrees;30 degrees;40 degrees;50 degrees;60 degrees
305;8.42885;8.01247;8.05395;5.85459;3.60622
306;9.67559;9.13098;9.10826;6.31515;3.39112
307;11.1324;10.8124;10.5007;7.31865;3.5147
308;13.2928;12.1703;12.3714;8.43476;3.82388
309;15.0895;13.9495;13.9277;9.28624;4.08082
310;16.7957;15.584;15.4332;10.4133;4.07919
311;18.5014;17.4204;17.0689;11.4597;4.54158
312;20.7474;19.7235;19.0059;12.63;4.73134
313;23.0033;21.4273;21.1701;13.7011;4.61542
314;25.2386;23.6307;23.3217;15.3326;4.9994
315;27.6644;25.0929;24.9924;16.3707;5.18466
316;29.4952;28.2703;27.4364;17.959;5.78462
317;32.3062;30.1669;29.4262;19.1831;5.77699
318;34.7299;32.204;31.5558;20.2369;5.88673
319;36.7206;34.3753;33.2918;21.5235;6.0809
320;38.4678;36.014;35.2236;22.7988;6.46193
321;40.5036;37.8738;37.3895;24.1182;6.97883
322;43.2098;39.6565;39.3348;25.2854;7.18482
323;45.0177;41.7412;40.7165;26.3416;7.27543
324;47.1585;43.3536;42.8948;27.5301;7.95693
325;48.4244;45.1697;44.353;28.6715;7.72688
326;49.2859;45.9254;45.6084;29.3174;7.59077
327;51.4447;48.0616;47.0256;29.713;7.40067
328;52.3282;48.487;48.0023;30.676;7.62984
329;54.3241;50.4072;49.7338;31.9615;8.61033
330;55.0039;52.0249;50.6865;32.8585;9.0503
331;57.2666;53.7679;52.356;34.1353;9.66346
332;58.6454;54.7838;53.2678;35.4116;11.0461
333;59.9132;55.715;54.9259;35.9484;11.9527
334;61.2002;56.8096;55.7963;36.8559;11.7315
335;60.6607;57.1818;56.1708;37.201;11.9832
336;60.8851;57.5082;56.2005;37.6581;12.8159
337;61.6212;57.2466;56.4718;37.5188;12.5572
338;60.923;58.0746;56.6529;37.7601;13.27
339;61.0766;58.0551;56.179;37.6862;12.7675
340;61.2848;57.542;56.3712;37.6105;13.3653
341;60.7667;57.3155;55.8928;37.3761;13.2358
342;60.5048;57.5649;55.796;37.3756;13.5294
343;59.8079;55.8919;55.8197;36.789;13.4021
344;59.0451;55.7722;54.8969;36.5724;12.85
345;58.4285;55.3823;53.6106;36.4089;12.9945
346;57.9803;54.739;53.2294;36.0598;13.1472
347;57.1502;53.4344;52.7227;35.6658;13.3036
348;56.4089;52.5607;51.5935;35.6071;12.9732
349;55.3913;51.545;50.4071;34.527;13.2542
350;54.3676;50.9675;50.5981;34.3791;13.3019
351;53.7841;49.8958;49.9423;33.6421;13.102
352;52.6957;48.7252;48.3647;33.382;13.6313
353;51.5123;48.0555;47.4276;32.7407;12.8422
354;49.8685;47.5433;46.7643;31.258;12.5516
355;49.82;45.7667;45.2387;30.8802;12.4472
356;48.5976;45.2483;44.2854;30.1588;12.3618
357;47.108;43.7734;42.9784;29.2519;12.1747
358;46.2088;42.602;41.8844;28.5227;12.3178
359;45.327;41.5684;41.2186;28.9171;12.0082
360;43.647;39.9163;39.4651;27.784;12.0996
361;40.2372;37.3185;36.5005;25.3416;11.1194
362;39.5631;36.1739;35.6406;24.83;10.6478
363;38.2892;34.792;34.6782;24.3902;10.9579
364;36.8933;33.8477;33.9045;23.2209;10.8098
365;36.4544;33.017;32.8039;22.8567;10.0089
366;35.6413;31.9922;31.7253;22.0911;10.0592
367;34.412;31.2655;30.2978;21.3104;9.93108
368;33.5706;30.368;29.6011;20.5394;9.69461
369;32.2802;29.4709;29.1327;19.9608;9.45947
370;31.3183;28.4416;28.1208;19.7095;9.22239
371;30.3645;27.3499;27.0232;18.9241;9.52245
372;29.688;26.581;26.1977;18.399;9.26936
373;28.7876;25.554;25.2717;17.8328;9.17099
374;27.8246;25.1479;24.2343;17.0017;8.34849
375;27.153;23.9588;23.5716;16.5285;9.01591
376;26.3114;23.5308;22.5707;16.369;8.6037
377;25.4208;22.6199;21.8923;15.7749;8.31257
378;24.9114;21.7465;21.245;15.0495;8.14418
379;23.863;20.9767;20.3072;14.7858;8.54001
380;23.2208;20.3797;19.8698;14.1388;8.16231
381;22.4437;19.6484;18.8188;13.9351;7.42464
382;21.5496;18.7511;18.0154;13.0755;7.14997
383;20.9168;17.9104;17.667;12.9332;7.27834
384;19.7788;17.3596;16.8727;12.7005;6.73629
385;19.1553;16.2951;16.0175;12.2359;6.43357
386;18.9271;15.8797;15.4036;12.3906;6.70856
387;17.8255;15.4773;14.8822;12.2295;6.42944
388;16.7506;15.0387;14.3686;11.743;6.219
389;16.2974;14.3319;13.7625;11.0361;6.08578
390;16.203;13.5225;13.2207;10.5885;5.92279
391;15.3849;13.0798;12.9033;10.4878;5.57373
392;15.1293;12.4766;12.4708;10.5775;5.835
393;14.3028;12.1618;11.6526;9.68993;5.44834
394;13.6774;11.5979;11.2196;9.26452;5.2115
395;13.2167;11.3473;11.0592;8.46389;4.94865
396;12.6897;10.9421;10.5167;8.19769;5.03055
397;12.1872;10.3157;9.8506;7.91791;4.88671
398;11.8565;9.8928;9.73312;8.03116;4.85063
399;11.037;9.59555;9.07916;7.50779;4.55395
400;10.7814;9.0682;9.08777;7.2274;4.9565
